Player,Nation,Age,Pos,G,GS,MP,FG,3P,2P,AST,STL,BLK,TOV,PTS,Team
Mouhamed Gueye,sn SEN,22,PF,33,28,533,72,21,51,27,28,33,15,197,Atlanta Hawks
Keaton Wallace,us USA,25,PG,31,5,501,65,27,38,81,28,9,33,168,Atlanta Hawks
Zaccharie Risacher,fr FRA,19,SF,75,73,1843,357,122,235,92,52,37,92,942,Atlanta Hawks
Daeqwon Plowden,us USA,26,SG,6,0,72,16,9,7,2,0,0,4,43,Atlanta Hawks
Jacob Toppin,us USA,24,SF,1,0,27,6,5,1,2,0,0,1,17,Atlanta Hawks
Kobe Bufkin,us USA,21,SG,10,0,124,18,4,14,17,3,2,8,53,Atlanta Hawks
Caris LeVert,us USA,30,SG,26,0,692,145,46,99,75,24,14,25,388,Atlanta Hawks
Jalen Johnson,us USA,23,SF,36,36,1284,271,44,227,181,56,36,106,680,Atlanta Hawks
Larry Nance Jr.,us USA,32,PF,24,3,463,80,34,46,38,20,13,16,203,Atlanta Hawks
Trae Young,us USA,26,PG,76,76,2739,566,218,348,880,91,12,355,1841,Atlanta Hawks
Onyeka Okongwu,us USA,24,C,74,40,2064,388,48,340,168,69,68,90,988,Atlanta Hawks
Dyson Daniels,au AUS,21,SG,76,76,2571,455,80,375,333,229,55,155,1073,Atlanta Hawks
Georges Niang,us USA,31,PF,28,2,644,120,76,44,44,11,7,34,339,Atlanta Hawks
Clint Capela,ch SUI,30,C,55,41,1176,218,0,218,62,34,53,47,488,Atlanta Hawks
Terance Mann,us USA,28,SG,30,1,682,118,34,84,62,19,4,22,294,Atlanta Hawks
Dominick Barlow,us USA,21,SF,35,4,375,60,7,53,19,9,16,5,148,Atlanta Hawks
Georges Niang,us USA,31,PF,79,3,1697,286,166,120,111,28,14,82,784,Atlanta Hawks
Garrison Mathews,us USA,28,SG,47,2,830,102,85,17,60,26,15,31,353,Atlanta Hawks
Vit Krejci,cz CZE,24,PG,57,16,1153,145,90,55,147,36,26,50,412,Atlanta Hawks
Luke Kornet,us USA,29,C,73,16,1361,187,0,187,117,36,71,31,441,Boston Celtics
Kristaps Porzingis,lv LVA,29,C,42,42,1210,277,103,174,87,31,63,53,818,Boston Celtics
Jaylen Brown,us USA,28,SF,63,63,2158,518,116,402,286,73,19,162,1398,Boston Celtics
Sam Hauser,us USA,27,PF,71,19,1541,214,166,48,64,41,13,23,605,Boston Celtics
Xavier Tillman Sr.,us USA,26,C,33,2,231,13,5,8,7,11,5,14,34,Boston Celtics
Jrue Holiday,us USA,34,PG,62,62,1896,254,108,146,239,66,27,77,686,Boston Celtics
Al Horford,do DOM,38,C,60,42,1659,195,114,81,128,36,51,46,538,Boston Celtics
Miles Norris,us USA,24,PF,3,0,35,2,2,0,0,2,1,0,7,Boston Celtics
Payton Pritchard,us USA,27,PG,80,3,2271,409,255,154,279,70,14,83,1144,Boston Celtics
JD Davison,us USA,22,PG,16,0,93,12,4,8,13,5,1,13,33,Boston Celtics
Derrick White,us USA,30,SG,76,76,2574,424,265,159,361,72,80,131,1248,Boston Celtics
Torrey Craig,us USA,34,SF,17,3,201,16,9,7,12,6,11,8,46,Boston Celtics
Baylor Scheierman,us USA,24,SG,31,2,384,39,26,13,33,17,2,12,113,Boston Celtics
Jordan Walsh,us USA,20,PF,52,1,403,30,15,15,19,12,11,17,82,Boston Celtics
Drew Peterson,us USA,25,PF,25,1,186,17,13,4,13,5,2,8,54,Boston Celtics
Jayson Tatum,us USA,26,PF,72,72,2624,662,250,412,431,76,38,209,1932,Boston Celtics
Neemias Queta,pt POR,25,C,62,6,863,132,0,132,45,18,42,40,310,Boston Celtics
Keon Johnson,us USA,22,SG,79,56,1925,303,126,177,175,82,30,116,839,Brooklyn Nets
Day'Ron Sharpe,us USA,23,C,50,2,907,165,11,154,91,41,42,63,397,Brooklyn Nets
Cam Thomas,us USA,23,SG,25,23,781,199,68,131,94,15,2,62,599,Brooklyn Nets
Maxwell Lewis,us USA,22,SF,21,1,298,43,19,24,17,8,7,12,112,Brooklyn Nets
Nic Claxton,us USA,25,C,70,62,1882,320,5,315,157,62,100,87,724,Brooklyn Nets
Ziaire Williams,us USA,23,SF,63,45,1541,214,103,111,84,62,28,67,632,Brooklyn Nets
D'Angelo Russell,us USA,28,PG,29,26,717,120,57,63,161,33,19,58,373,Brooklyn Nets
Cui Yongxi,cn CHN,21,SG,5,0,10,1,0,1,0,0,0,0,3,Brooklyn Nets
Noah Clowney,us USA,20,PF,46,20,1042,133,87,46,40,24,21,46,420,Brooklyn Nets
Jalen Wilson,us USA,24,PF,79,22,2031,246,122,124,145,40,5,79,749,Brooklyn Nets
Killian Hayes,fr FRA,23,PG,6,5,162,18,8,10,31,4,4,9,54,Brooklyn Nets
Tyrese Martin,us USA,25,SG,60,11,1315,189,99,90,122,34,9,74,523,Brooklyn Nets
Reece Beekman,us USA,23,PG,34,4,465,34,7,27,62,32,2,21,91,Brooklyn Nets
Trendon Watford,us USA,24,PF,44,6,913,164,29,135,115,27,12,83,450,Brooklyn Nets
Tosan Evbuomwan,gb GBR,23,SF,28,0,665,94,24,70,55,24,10,39,267,Brooklyn Nets
Dariq Whitehead,us USA,20,SF,20,0,246,39,33,6,12,6,1,15,114,Brooklyn Nets
Tyson Etienne,us USA,25,PG,7,0,151,17,13,4,12,3,1,8,55,Brooklyn Nets
Drew Timme,us USA,24,PF,9,2,254,45,9,36,20,4,1,15,109,Brooklyn Nets
Cameron Johnson,us USA,28,PF,57,57,1800,355,159,196,194,53,25,99,1070,Brooklyn Nets
Coby White,us USA,24,SG,74,73,2450,508,216,292,330,69,16,177,1509,Chicago Bulls
Lonzo Ball,us USA,27,PG,35,14,777,89,67,22,115,47,17,41,267,Chicago Bulls
Jalen Smith,us USA,24,C,64,2,962,190,72,118,65,17,44,37,524,Chicago Bulls
Matas Buzelis,us USA,20,SF,80,31,1511,252,96,156,79,29,75,74,688,Chicago Bulls
Kevin Huerter,us USA,26,SG,26,16,780,129,70,59,82,30,7,30,343,Chicago Bulls
Emanuel Miller,ca CAN,24,PF,6,0,25,4,0,4,2,1,0,0,10,Chicago Bulls
